"no","i","region_JP","region_EN","prec_no","block_no","latitude","longitude","altitude","data_type"
1,1,"稚内","wakkanai",11,"47401",45.415,141.678333333333,2.8,"s"
2,2,"沓形","kutsukatachi",11,"0002",45.1783333333333,141.138333333333,14,"a"
3,3,"浜頓別","hamatonbetsu",11,"0003",45.125,142.35,18,"a"
4,4,"北見枝幸","kitamiesashi",11,"47402",44.94,142.585,6.7,"s"
5,5,"歌登","utatou",11,"0005",44.8416666666667,142.48,14,"a"
6,6,"中頓別","nakatonbetsu",11,"1051",44.965,142.28,25,"a"
7,7,"豊富","houfu",11,"1054",45.1066666666667,141.765,16,"a"
8,8,"沼川","numakawa",11,"1203",45.2483333333333,141.851666666667,23,"a"
9,9,"船泊","funehaku",11,"1207",45.4366666666667,141.035,8,"a"
10,10,"宗谷岬","souyamisaki",11,"1284",45.52,141.935,26,"a"
11,11,"浜鬼志別","hamaonikokorozashibetsu",11,"1285",45.335,142.17,13,"a"
12,12,"本泊","honhaku",11,"1512",45.2416666666667,141.186666666667,30,"a"
13,13,"声問","koeton",11,"1528",45.4033333333333,141.8,8,"a"
14,14,"礼文","rebun",11,"1546",45.305,141.045,65,"a"
15,15,"幌泊","horohaku",11,"1593",45.455,141.038333333333,27,"a"
16,16,"幌延","horoen",11,"1573",45.0066666666667,141.851666666667,5,"a"
17,17,"礼文上泊埼","rebunuehakusaki",11,"1656",45.4233333333333,141.065,13,"a"
18,1,"美深","bishin",12,"0006",44.48,142.341666666667,77,"a"
19,2,"ピヤシリ山","piyashiriyama",12,"0007",44.435,142.581666666667,980,"a"
20,3,"名寄","nayoro",12,"0008",44.37,142.456666666667,89,"a"
21,4,"西風連","nishikazeren",12,"0009",44.295,142.358333333333,128,"a"
22,5,"下川","shimokawa",12,"0010",44.3016666666667,142.623333333333,140,"a"
23,6,"士別","shibetsu",12,"0011",44.1866666666667,142.416666666667,135,"a"
24,7,"犬牛別峠","kengyuubetsutouge",12,"0012",44.07,142.27,410,"a"
25,8,"雄鷹峰","osutakagamine",12,"0013",43.9533333333333,142.32,305,"a"
26,9,"蓬莱山","yomogiraiyama",12,"0014",43.9133333333333,142.583333333333,320,"a"
27,10,"上川","kamikawa",12,"0015",43.8466666666667,142.753333333333,324,"a"
28,11,"旭川","asahikawa",12,"47407",43.7566666666667,142.371666666667,119.8,"s"
29,12,"瑞穂","mizuho",12,"0017",43.7366666666667,142.638333333333,289,"a"
30,13,"終沢","owarisawa",12,"0018",43.63,142.335,550,"a"
31,14,"旭岳","asahidake",12,"0019",43.6616666666667,142.826666666667,1620,"a"
32,15,"白金","shirogane",12,"0020",43.475,142.65,658,"a"
33,16,"富良野","furano",12,"0021",43.3333333333333,142.4,174,"a"
34,17,"前富良野岳","maefuranogaku",12,"0022",43.3766666666667,142.568333333333,746,"a"
35,18,"前時雨山","maeshigureyama",12,"0023",43.185,142.346666666667,380,"a"
36,19,"朝日","asahi",12,"1047",44.1183333333333,142.595,225,"a"
37,20,"比布","hinuno",12,"1048",43.875,142.48,175,"a"
38,21,"層雲峡","souunkyou",12,"1049",43.7533333333333,142.93,540,"a"
39,22,"美瑛","biei",12,"1052",43.5883333333333,142.493333333333,250,"a"
40,23,"和寒","wakan",12,"1055",44.0283333333333,142.41,150,"a"
41,24,"東川","higashikawa",12,"1184",43.7016666666667,142.508333333333,215,"a"
42,25,"志比内","kokorozashihinai",12,"1185",43.6433333333333,142.581666666667,310,"a"
43,26,"幾寅","kitora",12,"1188",43.1683333333333,142.568333333333,350,"a"
44,27,"占冠","senkan",12,"1189",42.9783333333333,142.395,332,"a"
45,28,"上富良野","kamifurano",12,"1190",43.455,142.465,220,"a"
46,29,"江丹別","koutanbetsu",12,"1191",43.87,142.26,140,"a"
47,30,"音威子府","otoikofu",12,"1197",44.7266666666667,142.265,40,"a"
48,31,"中川","nakagawa",12,"1201",44.8283333333333,142.076666666667,22,"a"
49,32,"麓郷","rokugou",12,"1280",43.3016666666667,142.521666666667,315,"a"
50,33,"東神楽","higashikagura",12,"1458",43.67,142.446666666667,211,"a"
51,34,"小車","oguruma",12,"1570",44.6083333333333,142.295,62,"a"
52,35,"剣淵","tsurugifuchi",12,"1572",44.1066666666667,142.353333333333,138,"a"
53,36,"金山","kanayama",12,"1574",43.1383333333333,142.416666666667,284,"a"
54,37,"幌加内","horokanai",12,"1053",44.01,142.16,159,"a"
55,38,"朱鞠内","shumarinai",12,"1279",44.2816666666667,142.161666666667,255,"a"
56,1,"天塩","teshio",13,"0024",44.8933333333333,141.761666666667,9,"a"
57,2,"遠別","enbetsu",13,"0025",44.7183333333333,141.806666666667,7,"a"
58,3,"羽幌","hahoro",13,"47404",44.3633333333333,141.7,7.9,"s"
59,4,"留萌","rumoi",13,"47406",43.945,141.631666666667,23.6,"s"
60,5,"増毛","mashike",13,"0028",43.8483333333333,141.51,20,"a"
61,6,"古丹別","kotanbetsu",13,"1112",44.265,141.721666666667,15,"a"
62,7,"焼尻","yakishiri",13,"1213",44.4283333333333,141.421666666667,38,"a"
63,8,"初山別","hatsuyamabetsu",13,"1216",44.5233333333333,141.77,27,"a"
64,9,"達布","tachinuno",13,"1217",44.0483333333333,141.856666666667,30,"a"
65,10,"幌糠","horonuka",13,"1218",43.8533333333333,141.76,20,"a"
66,1,"阿曽岩","asoiwa",14,"0029",43.3016666666667,141.513333333333,320,"a"
67,2,"新篠津","shinshinotsu",14,"0030",43.22,141.645,9,"a"
68,3,"山口","yamaguchi",14,"0031",43.1483333333333,141.221666666667,5,"a"
69,4,"手稲山","teineyama",14,"0032",43.0833333333333,141.201666666667,568,"a"
70,5,"札幌","sapporo",14,"47412",43.06,141.328333333333,17.4,"s"
71,6,"小金湯","koganeyu",14,"0034",42.9633333333333,141.216666666667,230,"a"
72,7,"恵庭島松","eniwashimamatsu",14,"0035",42.9266666666667,141.565,30,"a"
73,8,"島松山","shimamatsuyama",14,"0036",42.895,141.413333333333,400,"a"
74,9,"支笏湖畔","shikotsukoaze",14,"0037",42.7716666666667,141.406666666667,290,"a"
75,10,"西野幌","nishinohoro",14,"1076",43.0433333333333,141.54,22,"a"
